metabolite,A002,A004,A006,A007,A011,A012,A014,A015,A016,A018,A020,A022,A024,A025,A026,A028,A030,A031,A032,A033,A035,A036,A040,A041,A042,A044,A045,A047,A050,A051,A052,A056,A057,A060,A061,A062,A063
CMP,0.003044184,0.001173581,9.54E-04,3.86E-04,0,0.003086353,0.001162862,0.02034653,0,0.002723927,0.001091208,0.001737044,0.003056047,8.22E-04,0.002589158,0.001984696,0,0.001597151,0,0.001168016,0,0,0.002337925,5.22E-05,3.68E-04,0.004226359,0.004111103,0.001550122,0.003148901,0.019945589,0.001869931,0.00127431,7.91E-04,0.00365753,8.41E-04,0.004825514,6.46E-04
Cortexolone,0.073556281,0.032927034,0.002717945,0.04847692,0.007665711,0.023333311,0.011825792,0.017132297,0.015369368,0.11700499,0.015887838,0.009845277,0.014971487,0.012521161,0.010337013,0.017198089,0.024025084,0.027422588,0,0.012136615,0,0.017557269,0.017324031,0.009247726,0.010867132,0.00267638,0.014813861,0.024005296,0.022295083,0.016124903,0.010400302,0.020670721,0.015006601,0.01905787,0.039339063,0.017019153,2.19E-04
Cortisol 21-Acetate,0.016263835,0,0,0,0.009271027,0.001172491,0.009181956,0.011521063,0.012613139,0,0.001327409,0,0,0,0.024214419,0,0,0,0,0.009199187,0,0,0.005018959,0,0.003465668,0.008605299,0,0.033104902,0,0.019336364,0,0,0.001626766,0,0,0,0
Cortisone,0.035018315,0.062094112,0.06053788,0.045197038,0,0,0.041123824,0.032099649,0,0.039613021,0,0.159617073,0.014805281,0.009930419,0.02137155,0.024521177,0.131280048,0.049662154,0.177015504,0.001920479,0.111335388,0.098593252,0.015378793,0.022257042,0,0.027936395,0.112437802,0.117856761,0.025718673,0.037795302,0.02634222,0.08410348,0.159930838,0,0.060001841,0,0.308740161
Creatine,0.110931913,0.157446742,0.093649432,0.033686712,8.825884337,2.916653813,0.283718295,3.377852094,0.207073641,0.016857161,4.470846953,0.023242771,3.442495699,0.021539293,0.395117233,0.031670866,0.429426084,0.118173259,0.074003622,0.063372752,0.019011005,13.64672945,1.715353474,0.262928218,0.076975508,10.25690256,0.018077134,0.236028115,0.020132275,0.054450515,0.068286626,0.119075252,0.067463137,0.20159863,0.217748541,24.61979921,0.061429646
Creatinine,0.046954267,0.159359656,0.076977514,0.184956672,2.278893549,1.595826301,3.734069171,8.483190189,0.636159203,0.009773152,2.640918898,0.019656166,1.00266865,1.070748022,0.461496929,0.008107993,2.89314369,0.010780037,0.014134427,0.313909121,0.019550677,5.745991345,1.976070649,3.050770157,1.77258411,4.352719156,0.008285312,0.025833781,0.009691618,0.056753308,0.701604495,2.81918974,0.019952142,0.273732883,0.01578768,2.973560164,0.014086448
Crotonic acid,0.061367591,0.063949209,0.010207297,0.060149473,0.020142614,0.021537683,0.016670596,0.019045209,0.012261169,0.120249054,0.011228368,0.016779154,0.031531573,0.006161093,0.005602795,0.014207721,0.053856727,0.088569817,0.029335993,0.007748421,0.03549054,0.008435618,0.005754077,0.00700607,0.006306359,0.028849996,0.007003094,0.033276892,0.017719965,0.010538364,0.008122246,0.021390646,0.011230296,0.01069986,0.033359591,0.061507085,0.007991998
Cys-Gly,0.002499532,0.001324021,0.002001155,0.003497571,0.001338525,0.002980192,0.00567109,0.002296033,0.002363172,0.001082771,9.36E-04,0.005168304,0.002538311,0.001891959,0.004663841,0.002517526,0.002411816,0.002107236,0.003141675,0.007261978,0.005057478,0.003059787,0.002380036,0.004258749,7.14E-04,0.00155969,0.005611015,0.001886631,7.69E-04,0.01034256,0.001564915,0.002477713,0.001898758,0.002461034,0.001116145,4.56E-04,0.001912625
Cystine,0.001591377,0.001031054,0.008597446,0.003054909,0.002878069,0.001289551,0.003113628,0.001183416,0.001521917,8.19E-04,0.005433009,0.00407781,0.001493633,0.001113958,0.001932663,9.82E-04,0.002253384,0.001697774,6.33E-04,0.002196974,0.007027776,0.002564339,0.01522706,0.002289635,0.001879868,0.001280512,2.60E-04,0.004167375,0.002456022,0.004841906,7.12E-04,9.20E-04,0.002085769,7.05E-04,0.002255043,7.07E-04,0.002259399
Cytidine,0.030759435,0.109836387,0.350374301,0.015749704,0.005413254,0.110675496,0.028601403,0.164620161,0.00971371,0.03874168,0.008467323,0.102080367,0.015295979,0.023893412,0.101355028,0.055181043,0.009798577,0.023374202,0.06427534,0.060721367,0.018792178,0.017149706,0.058796693,0.028907007,0.016172808,0.097642707,0.020996061,0.040681144,0.046481786,0.084083999,0.056872531,0.010425661,0.090038502,0.020389501,0.013829985,0.041647768,0.013525833
Cytidine 2'-3'-Cyclic Phosphate,0,0.0015326,0.002350644,0,0,0.00170177,0,0.004019768,0,0,0,0.002473421,0.001913699,0,0,0,0,0,0.001814742,0,8.16E-04,0,0,0,0,0.003140863,0,0,0.001764346,0.012297537,0,0.001839572,0,0.002838633,0,0.002146045,0
Cytosine,0.036874297,0.044861575,0.24244266,0.211187609,0.007849218,0.049109205,0.011824043,0.068674043,0.018504861,0.093731906,0.004355755,0.042283928,0.026144061,0.01537633,0.042792963,0.024178404,0.012874028,0.015408423,0.05728779,0.024539132,0.003898044,0.002333412,0.026923582,0.061004492,0.010803592,0.045061706,0.008372224,0.017411615,0.039975228,0.032708035,0.02603618,0.036163681,0.038876942,0.017791374,0.04591653,0.018495222,0.004298638
D-Mannosamine,0.011486935,0.004773291,0.007715558,0.005999949,0.003479999,0.002918216,0.005281209,0.006196949,0.00264636,0.003691947,0.001808225,0.003836298,0.002329376,0.003691317,0.003263195,0.00369306,0.007678316,0.002989875,0.003348749,0.003663447,0.010949495,0.005124996,0.001873165,0.002764701,0.001920147,0.012653601,0.002573877,0.008962734,0.003166814,0.002331163,0.004050158,0.002413602,0.004513153,0.003522122,0.001986962,0.001555039,0.002757581
D-Pinitol,0.002800341,0.001336033,0.001590586,0.001077506,0.005321972,0.115495891,0.006544366,0.00725442,0.001586657,7.08E-04,3.97E-04,0.005192636,0.002637495,0.004457616,0.002220115,0.002014032,0.001289695,0.003142155,0.002996426,0.001996428,0.003370706,0.001634389,7.45E-04,0.006284026,5.45E-04,0.006090424,0.003315974,0.003452423,5.49E-04,0.004344144,0.002514651,0.002071692,0.00218549,6.74E-04,0.001170397,3.46E-04,0.001363882
D-Sedoheptulose,7.65E-04,6.92E-04,0.003301063,0.001039596,0.002310945,0.00168475,0.003483508,6.93E-04,6.17E-04,6.26E-04,6.78E-04,0.001346101,4.96E-04,0.001053582,0.001712284,0.001069046,0.001948025,6.87E-04,0.001263462,5.21E-04,0.003689138,6.86E-04,0.001562144,0.003092733,7.10E-04,5.83E-04,0.002085656,0.001550946,5.09E-04,0.001113586,0.001769821,0.00118988,0.001230427,6.35E-04,0.001058028,2.93E-04,7.93E-04
Decanoic acid,0.318654584,0.283841739,0.023434287,0.288828955,0.314796312,0.212016906,0.199404196,0.192420303,0.153945739,0.576361417,0.121105411,0.137905539,0.18119733,0.094014873,0.105569794,0.198116265,0.47548553,0.515969418,0.28310024,0.0829563,0.310362211,0.101187499,0.197738833,0.078368465,0.102390157,0.20388327,0.141402704,0.275401293,2.126318134,0.161456888,0.080624672,0.149358332,0.106987773,0.147407481,0.420497218,0.477554528,0.986912992
Deoxycarnitine,0.456632543,5.736800037,0.767885403,0.472644919,3.147963122,1.949991406,18.08748511,3.551371893,10.48803011,4.71400915,10.39731849,11.86869243,7.419748012,3.390702071,14.22422041,0.828112091,1.202080829,1.252290603,1.395131278,4.644834155,13.41224698,5.126811244,4.055600494,6.422674015,3.791220972,0.60334721,4.496404414,2.802705787,1.541986433,1.056615795,3.864306008,4.349607028,10.29366602,6.370275684,1.341558575,0.147419322,6.517847837
Deoxycholate,2.461447763,1.449960449,2.125511269,2.580039478,3.418340323,1.966658,0.992743465,3.971675407,2.341753608,1.527907488,8.234676248,1.154002094,9.926419637,9.488017198,8.755797894,5.693270624,0.821761471,0.072380112,4.40978558,9.902173914,0.551157985,2.996831693,2.979624852,6.422674015,3.188642805,2.723681689,14.7980258,0.727887183,1.404019226,2.23108489,13.9224642,3.576343556,4.582133465,5.604617549,1.455591054,0.01745765,3.826266949
Deoxycytidine,0.017639793,0.00901815,0.041875841,0.022999554,0.02503274,0.011962547,0.013365105,0.027275127,0.011678249,0.003065755,0.008843563,0.013838164,0.011001712,0.011514186,0.01438486,0.054317465,0.028910877,0.011445122,0.041088071,0.031845659,0.092919693,0.028615855,0.018012209,0.021610014,0.014296654,0.032621856,0.028074135,0.016609649,0.011445433,0.033779865,0.032010722,0.013523034,0.028883732,0.003599698,0.018583109,0.003605433,0.016534421
Deoxycytidine Monophosphate,4.71E-04,2.60E-04,5.61E-04,2.93E-04,5.05E-04,0.001061293,4.30E-04,0.002145929,0.001128706,9.49E-04,0.001574754,0.002835582,0.00281856,0.001449944,0.003918872,0.008443297,9.37E-04,0.003932302,0.001065147,9.32E-04,2.89E-04,0,0.001020173,1.78E-04,9.13E-04,0.004645758,0.007175553,0,0.00183122,0.007261278,0.001794011,0,0.00109462,8.58E-04,4.16E-04,0,0.006985856
Deoxyguanosine,0.021459587,0.018909799,0.081755103,0.063427951,0.0187113,0.098233831,0.046176953,0.011640698,0.031076079,0.014204167,0.019653334,0.161391436,0.018491516,0.015405404,0.020096769,0.351947639,0.033191414,0.037493147,0.063325013,0.010350249,0.074153385,0.143241629,0.023650487,0.055907249,0.029191071,0.092620567,0.030053362,0.038741368,0.024103118,0.041801667,0.026615994,0.065303844,0.030352262,0.009965692,0.02168334,0.009404064,0.033570169
Deoxyguanosine monophosphate,0.0230036,0.008416133,0.002232345,0.005979305,0.001623964,0.022053629,0.005401516,0.031018365,0,0.029010241,0.002109892,0.004581871,0.014441995,0.002878879,0.00825172,0.001402506,0.002393506,0.005701197,0.002474597,0.006293316,0.003725154,0,0.001004291,5.54E-04,7.12E-04,0.001005284,0.006128747,0.015474957,0.01407957,0.082659084,0.004137322,0.005390968,0.003721684,0.006965279,0.003994116,0.097633952,0.00302909
Deoxyribose,0.004810858,0.005709907,0.004818912,0.004480542,0.003187865,0.028156537,0.01619444,0.013573189,0.021287484,0.009070615,0.006267912,0.017153907,0.021510752,0.017850606,0.005944184,0.008529634,0.014361254,0.041147246,0.012775093,0.01934297,0.015257986,0.009649936,0.018106666,0.031544864,0.00460127,0.01157767,0.003956558,0.017095118,0.008108178,0.011004932,0.008524295,0.016094354,0.007237953,0.013065015,0.02340334,0.004497721,0.02708098
Deoxyuridine,0.013172078,0.009530469,0.008621629,0.025250233,0.006966627,0.027224617,0.014497474,0.017712589,0.00727865,0.005003019,5.29E-04,0.029629752,0.014005337,0.018288157,0.030247658,0.043500152,0.015229598,0.006461666,0.040789266,0.008378127,0.087356048,0.017882328,0.003865649,0.021964633,0.004759938,0.010266615,0.055762745,0.020705708,0.008291686,0.007661448,0.025578372,0.004469356,0.015696347,0.01911328,0.023056718,0,0.010972716
Dethiobiotin,0.007550417,0.016168529,0.234553948,0.077032309,0.033988163,0.081961748,0.049140176,0.042385768,0.080248862,0,0.048063685,0.019296712,0.050980911,0.02232161,0.014199822,0.012714877,0.017915263,0.023067635,0.021144832,0.052112715,0.008182085,0.113937278,0.164721896,0.089089796,0.049718354,0.056903899,0.037023987,0.063391337,0.021880897,0.056073505,0.041699486,0.134961057,0.041698703,0.030162228,0.006193308,0,0.022748324
Diaminopimelate,0.002453712,7.01E-04,0.003533956,0.002002914,0.002180611,0.001273432,0.001080209,0.002669553,0.001931224,0.001119313,0.001340548,7.51E-04,6.28E-04,0.002388188,0.002780621,0.00306531,0.003786065,0.001082742,0.001055461,0.001126666,0.004737969,0,0.016139243,0.002471914,0.001133397,0.001058036,0.020037999,0.007519282,8.96E-04,0.002794674,0.00152788,8.69E-04,0.00128601,0.001652123,9.08E-04,0,0.001237736
Didecanoyl-Glycerophosphocholine,0.019590449,0.034003404,0,0.0331399,0.0151517,0.015034386,0.012064148,0.013158227,0.010667772,0.038747402,0.007638758,0.109255927,0.010625123,0.008475233,0.008125251,0.010014207,0.02399321,0.031966083,0.020969261,0.008164932,0.025000645,0.007675366,0.007069906,0.005944716,0.007298234,0.014364191,0.00859308,0.019170426,0.011785283,0.01122705,0.01139355,0.010957112,0.010032062,0.007643782,0.016101233,0,0.011020277
Diethanolamine,0.029046238,0.007432151,0.014126916,0.007124618,0.004579387,0.003968654,0.004066382,0.001646139,0.003860247,0.013164333,0.001309994,0.004353552,0.003925043,0.001685869,0.009006072,0.007198009,0.013078368,0.010044184,0.011656423,0.001289785,0.010450895,0,0.001178255,0.001480336,0.001485841,0.003804645,0.004327128,0.010187369,0.014105771,0.00563813,0.001755424,0.004364506,0.010364191,0.003363085,0.010855259,0.009466292,0.00564259
Diethyl 2-Methyl-3-Oxosuccinate,0.038807033,0.036844274,0.016947914,0.039670474,0.006082711,0.037966697,0.0413825,0.018449806,0.016741056,0.03256489,0.009203044,0.023605284,0.021844232,0.014050869,0.015178598,0.015221957,0.050738466,0.071991078,0.05289695,0.009405922,0.083901332,0.006204812,0.007766009,0.029372825,0.008607038,0.023729693,0.009170406,0.036201551,0.020217342,0.022170908,0.011632054,0.020792673,0.052855982,0.010880788,0.057091599,0.01706696,0.014799992
Dihydrobiopterin,0.007836966,0.006600001,0.042481754,0.013263989,0.00137125,0.001737407,0.003621777,0.004239079,0.003918872,0.012615389,0.001205528,0.006010031,0.0030283,0.006814371,0.002299682,0.003850293,0.00949908,0.007199646,0.01165701,0.001838724,0.005945149,0.00268224,0.002917012,0.001595538,0.001981549,0.003916663,0.001810387,0.009226142,0.00763718,0.003106984,0.003669739,0.002243671,0.0056663,0.003377389,0.011091579,0.017577047,0.003148181
Dihydroorotate,0.001107906,4.19E-04,0.009996508,0.006036039,0.001391871,8.12E-04,8.20E-04,6.68E-04,0.001234402,5.69E-04,0,0.00220615,4.12E-04,0,6.05E-04,0.001003087,0.00213906,0.002910611,0.001976185,0,0.002244651,0,0,0,0.00232258,0,0,0.001349669,6.68E-04,9.78E-04,0,4.75E-04,0.000920467,4.97E-04,0.002616573,6.32E-04,0.001011738
Dihydrouracil,0.009877166,0.009053288,0.004198817,0.00848885,0.001520456,0.004193616,0.004121659,0,0.003099751,0.014123654,0,0.005134453,0.008221124,0.003736547,0.004459849,0.010807124,0.02498227,0.005621988,0.003495006,0.00195885,0.066524009,0.012928638,0.001094557,0.007903561,7.81E-04,0.001850189,0.005038089,0.008366973,0.001015442,0.026462665,0.00242189,0.003901369,0.007001426,0.005417353,0.00337128,0.006754034,0.002726731
Dimethylarginine,0.220972307,0.052449449,0.069121491,0.117238904,0.208576698,0.116744131,0.098601039,0.397167541,0.443592093,0.020799961,0.148234176,0.068744789,0.262602492,0.143028189,0.219538036,0.152592598,0.029474973,0.021086208,0.048095369,0.226278814,0.021559267,0.745492843,0.262786359,0.764699625,0.539809609,0.387392123,0.05530916,0.039016306,0.029969757,0.06207388,0.18747989,0.301999271,0.035848351,0.23422965,0.020118384,0.057891767,0.041961594
Dimethylglycine,0.078939222,0.065897438,0.118157699,0.067585209,0.019252417,0.04975809,0.057741795,0.067568437,0.046763519,0.158292095,0.023190851,0.061665838,0.044194279,0.027928141,0.047044287,0.083346848,0.158820499,0.100469036,0.073327728,0.019324577,0.129631192,0.084923683,0.027740889,0.049872873,0.060970123,0.037631505,0.041403968,0.094984216,0.0572006,0.080198892,0.086836319,0.0518541,0.119077627,0.142136161,0.05655165,0.074475287,0.033858838
Docosahexaenoic acid,0,0.020802437,0.001813853,0.03649846,0.019700407,0.01511022,0.01730701,0.014541355,0.079228183,0,0.008542398,0,0.020794705,0.075984645,0.012802562,0.021142974,0.038458155,0.028462784,0.016948071,0.01568507,0,0.017961776,0.090888766,0.012211188,0.056668596,0.025603466,0,0.058831508,0,0,0.034444628,0.027990988,0.005775743,0.022810597,0.022000319,0.027675884,0.025557849
Docosatrienoic Acid,0,0,0.013579537,0,0,0,0,0,0,0,0,0.006370954,0,0.003452635,0.001592621,0,0,0,0.025513994,0,0,0.005828904,0,0.007032112,0,0,0.011906011,0.002675228,0,0.019612813,0.01670615,0,8.53E-04,0.008759016,0.033979736,0,0
Dodecanoic acid,0.286104806,0.528225701,0.072021444,1.002270975,1.989203691,0.347296771,0.270073454,0.243680681,0.238210304,0.473066607,0.142710004,0.171682171,0.247055957,0.182722145,0.309987228,0.420956979,0.70630738,0.736887028,0.387616638,0.178032541,0.49244837,0.174397942,0.728352742,0.145699345,0.240661921,0.318484592,0.320870174,0.411250675,13.59382777,0.260224606,0.140799373,0.277626729,0.144383298,0.153560053,0.757980595,0.282222195,4.670684482
Dopamine,0.004599153,0.002481518,0.004580755,0.002635154,0.003801056,0.001745763,0.004336291,0.004677929,0.002262509,0.007375405,8.65E-04,0.007926059,0.003292955,0.004487973,0.014785642,0.004239553,0.007828053,0.007581716,0.007772654,0.002994968,0.012381374,0.002570376,0.001276811,0.003901665,8.93E-04,0.001396242,0.005961053,0.004071654,0.00179772,0.008837771,0.003517993,0.00335795,0.002437865,0.001641952,0.008333924,0.001781195,0.003588674
Eicosapentaenoic acid,0.036251127,0.037354884,0.067551329,0.011991372,0.022524748,0.00870021,0.02624328,0.00823143,0.005361226,0.018058104,0.003868804,0.006329995,0.006006286,0.01753431,0.015027288,0.009740388,0.015352533,0.018260525,0.00796817,0.005620957,0,0.007986814,0.01679346,0.00193744,0.01191673,0.017943914,0.001820964,0.024583059,0.007273511,0.030727758,0.004855597,0.007082107,0.006169624,0.005329769,0.014178112,0.026117586,0.018726824
Epinephrine,0.001624345,6.76E-04,0.001734546,7.78E-04,4.88E-04,6.10E-04,0.001123831,9.47E-04,6.80E-04,0.00207262,3.14E-04,0.003020117,9.84E-04,0.001207855,0.001792895,9.59E-04,0.00180618,0.001539925,0.001453482,5.34E-04,0.003159306,7.27E-04,5.33E-04,8.26E-04,3.14E-04,5.90E-04,0.001342474,0.00158378,4.72E-04,0.001393543,0.001067432,9.46E-04,9.08E-04,6.50E-04,0.002296405,6.19E-04,0.001100195
Erucic acid,0.0148529,0.010087523,0.057938583,0.001110483,0.002139826,0.004705195,0.008810292,0,0.006478388,0.005304454,0,0.01673688,0.014016795,0.006647846,0,0,0.004385228,0.086817004,0.010753052,0,0.055794094,0.00625284,0.001207471,0.001010941,0,0.002537463,0.004805592,0.003497503,0.003344385,0.004527609,0,0.046839087,0,0.019427408,0.03399642,0.005641182,0.003694194
Ethyl 3-Indoleacetate,0,0,0.004230458,0,0.008442292,0,0.002054333,0,8.45E-04,0,0,0.008147852,0,0.00510928,0.007723167,0,0,0,0.011028008,0,0,5.56E-04,0,0.004596066,0,5.16E-04,0,0,0.010898962,0.012166398,0.002471155,0.006770141,0,0,0,0,0.006544315
Farnesyl pyrophosphate,0.076095085,0.067577666,0.005089424,0.057686916,0.014378502,0.02737059,0.03844785,0.028004374,0.024197575,0.129051986,0.016302319,0.045991117,0.024398345,0.012933142,0.019564969,0.037357975,0.068811568,0.097451281,0.033184249,0.012431523,0.014060035,0.021197948,0.015743821,0.008155459,0.01372448,0.055663839,0.007480928,0.070063453,0.05552264,0.025404428,0.013403903,0.025141427,0.036349816,0.042455547,0.073591959,0.056916848,0.013317494
Ferulate,0.004580641,0.013883114,0.039593124,0.012174614,0.035793735,0.042657268,0.042985223,0.039057798,0.018252224,0.007329974,0.017524527,0.008338415,0.046499472,0.025325652,0.009870219,0.01969719,0.009147317,0.014980165,0.020361966,0.009794141,0.023797956,0.014645868,0.013613064,0.048898894,0.0165147,0.055066468,0.003881887,0.006431273,0.008022794,0.008528013,0.011636124,0.019191765,0.021795957,0.04486831,0.011591227,0.003325427,0.008160051
Fructose,0.003829822,0.007799317,0.025769471,0.01681995,0.025631329,0.050916877,0.022590957,0.050387872,0.036805772,0.006807577,0.021606923,0.004461841,0.021641257,0.027606373,0.015419543,0.012687632,0.003722178,0.005931271,0.014719058,0.03315425,0.004381272,0.037418824,0.067028238,0.268949474,0.016768554,0.032969663,0.026479546,0.014715916,0.004731765,0.011452824,0.040466003,0.022502233,0.010301162,0.024729321,0.00243783,0.0060261,0.003582394
Fructose-6-phosphate,0.00243525,0.007197741,0.052727695,0.006920414,0.010297484,0.061292876,0.194594439,0.068479844,0.004371178,0.045509802,0.004304685,0.094613994,0.046985675,0.053116891,0.108184942,0.012929139,0.0048308,0.012527695,0.005031032,0.034411511,8.52E-04,0.001212157,0.00380628,7.26E-04,3.20E-04,0.001834859,0.107182304,0.017257015,0.085727543,0.199794642,0.0140701,0.006516088,0.071235882,0.03913946,0.002715803,0.005341142,0.016403703
Fumarate,0.006678298,0.008946056,0.016156349,0.014525961,0.005804985,0.009312864,0.005593308,0.02686885,0.014720411,0.011423841,0.008312728,0.008108862,0.008917398,0.008668019,0.019086508,0.014729601,0.011959522,0.014205611,0.023814886,0.006223608,0.013306576,0.011724282,0.009095176,0.011219983,0.009328257,0.021636399,0.008338747,0.010481637,0.008153044,0.004618148,0.0201143,0.007147654,0.010397949,0.008781559,0.014727225,0.020156838,0.012096102
GABA,0.578469994,0.12024252,0.24726828,0.458281081,1.763245602,0.679163674,0.16719334,0.372825105,0.293295902,0.323311859,1.050129168,0.204238782,0.280272486,1.728068336,0.603739133,0.07420254,0.277485032,0.434272995,0.129837314,0.349638615,0.247340106,0.143680695,1.971932281,0.365289585,0.10398163,1.387698582,0.145789819,0.196741579,0.101852272,0.301158995,0.098753927,2.042704337,0.332366019,1.574193126,0.193251159,0.085520285,0.085851845
Galactarate,0.001366985,0.00144608,0.002087913,0.003411045,0.004068121,0.002763631,8.38E-04,9.56E-04,7.44E-04,0.001247407,0.007009291,0.002032301,0.001141841,3.61E-04,7.04E-04,5.05E-04,6.49E-04,9.85E-04,4.14E-04,4.44E-04,0.001260037,2.57E-04,2.72E-04,9.33E-04,1.72E-04,0.003414738,0.003961557,9.70E-04,2.97E-04,0.001321575,2.20E-04,5.64E-04,3.72E-04,0.001250051,6.92E-04,7.46E-04,3.77E-04
Galactosamine,0.061493815,0.041680166,0.132009972,0.015760148,0.013655776,0.009876538,0.018768008,0.026974234,0.019507204,0.016775405,0.009935615,0.004292826,0.01352764,0.013537864,0.016344692,0.007430663,0.061249223,0.014871535,0.019612523,0.013020078,0.043617537,0.013983388,0.041928369,0.008148934,0.023483493,0.01895925,0.046154248,0.019872655,0.00543948,0.024466766,0.020388995,0.007879405,0.020363715,0.021765539,0.009474979,0.003036089,0.007877709
Galactose 1-Phosphate,8.43E-04,0.003035964,0.024431072,0.002790072,0.003277399,0.018528688,0.047966264,0.025265283,0.001723316,0.016262268,0.001978313,0.027802962,0.013674169,0.017049119,0.026995463,0.005628476,1.26E-04,0.005630404,0.001529418,0.010642883,0,0,0.001516671,0,0,9.98E-04,0.036223849,0.005975445,0.030353876,0.04849868,0.005128791,0.002289051,0.019595309,0.012689613,0.00117666,0.003633312,0.006590804
Galacturonate,0.022557296,0.024190064,0.107518879,0.032999363,0.04493452,0.055818352,0.047703997,0.079195129,0.043605313,0.043773804,0.018049899,0.044240574,0.019544419,0.038919072,0.087746551,0.015704519,0.013349923,0.025469661,0.032895332,0.035236573,0.021356204,0.024778328,0.018143394,0.019142979,0.008969555,0.273677182,0.018715537,0.034190583,0.025578456,0.049719044,0.019572606,0.018861238,0.034227655,0.034521691,0.018797467,0.008899707,0.017987853
gamma-Glutamylcysteine,7.06E-04,0,8.62E-04,4.84E-04,0.001148063,0.001024217,6.42E-04,9.74E-04,7.72E-04,4.83E-04,6.68E-04,0.001190707,5.58E-04,7.32E-04,0,5.69E-04,7.20E-04,0,0.001105686,0.001423777,0.002559874,0.00141887,5.25E-04,7.52E-04,4.32E-04,1.23E-04,0.001510047,8.66E-04,0,0.001256746,3.21E-04,0.001270227,7.59E-04,9.96E-04,0.00166502,0.002016347,3.67E-04
Gemcitabine,4.23E-04,0,4.46E-04,0,0.001151916,3.94E-04,9.24E-04,2.53E-05,3.18E-04,0.0010493,0,0.00169664,9.14E-04,0.002089927,6.30E-05,4.78E-04,9.38E-04,0.003502622,0.002424209,0,0.001657256,1.77E-04,0,6.33E-04,0,0,6.36E-04,0.001558184,0,0.001609946,2.59E-04,0,6.47E-04,0,0.002147312,1.83E-04,0.001355064
Glucosaminate,0.010520932,0.011985965,0.018432363,0.00999706,0.002361943,0.00523913,0.004801328,0.004779508,0.005029868,0.020588766,0.002401744,0.005227536,0.005195617,0.004120097,0.0040501,0.006119698,0.012542426,0.017945265,0.007732519,0.002340688,0.012170997,0.002705949,0.002260152,0.002563495,0.003667539,0.007742916,0.001868912,0.012754035,0.007869918,0.004494622,0.002932221,0.004795486,0.004541714,0.004005482,0.012242682,0.010427882,0.00456649
Glucosamine,0.015593714,0.01244595,0.039174629,0.010417731,0.006553842,0.004983691,0.007803919,0.024964574,0.008344901,0.005137874,0.004152943,0.003981055,0.004921809,0.005963808,0.007058115,0.004366149,0.008294915,0.008788487,0.008015473,0.004550658,0.010949495,0.008139783,0.00762077,0.004132329,0.009992772,0.027119118,0.011373271,0.008962734,0.003319433,0.006892329,0.009850689,0.002413602,0.00841611,0.00547153,0.002463737,0.002509462,0.002757581
Glucosamine-6-Phosphate,0,7.35E-04,0.00244423,7.49E-04,5.34E-04,0.001769079,0.005806474,0.001554311,0,0.001454383,8.89E-04,0.00303717,0.001280479,0.001598436,0.003227398,9.44E-04,6.61E-04,0.001095415,8.97E-04,0.001340142,0,0,0,1.34E-04,0,5.06E-04,0.008954871,8.56E-04,0.00231558,0.013416703,1.99E-04,0,0.002028764,0.002299331,3.56E-04,6.19E-04,8.67E-04
Glucose,0.003325856,0.010831166,0.037433437,0.022922782,0.024157323,0.028529397,0.029418551,0.0549873,0.044092534,0.005008553,0.016699049,0.004546403,0.028464651,0.026861051,0.019396313,0.018470019,0.003967663,0.008400593,0.020628804,0.03994223,0.003644661,0.042319881,0.039570483,0.042234496,0.021406508,0.046700698,0.039902103,0.017221514,0.005163111,0.01656613,0.04270489,0.008171518,0.013912941,0.03733203,0.003261163,0.004351707,0.005129483
Glucose 6-Phosphate,0.001303633,0.007197741,0.052727695,0.006920414,0.010297484,0.061292876,0.194594439,0.068479844,0.004371178,0.045509802,0.004304685,0.094613994,0.046985675,0.053116891,0.108184942,0.012929139,5.36E-04,0.012527695,0.003459152,0.034411511,8.52E-04,0,0.00380628,7.26E-04,2.40E-04,0.001834859,0.107182304,0.017257015,0.085727543,0.199794642,0.0140701,0.006516088,0.071235882,0.03913946,0.002715803,0.005341142,0.016403703
Glucuronolactone,0.030763533,0.025181747,0.014696479,0.029165491,0.011408807,0.0279499,0.026436364,0.020976868,0.015947322,0.055288174,0.015833759,0.016915667,0.022286625,0.013803458,0.010504753,0.017197756,0.039512999,0.074663714,0.023949267,0.010626552,0.043875813,0.010305394,0.014829633,0.009200691,0.019295215,0.028433796,0.007724589,0.031587034,0.02662813,0.018563843,0.00975051,0.021738881,0.017507452,0.020418926,0.050554809,0.037081546,0.015033402
Glutamate,2.717552155,0.287406255,2.433710403,1.991609422,0.107573385,0.4916645,1.286054035,0.243456502,0.526120855,1.456842024,0.3036017,2.578245186,0.427805291,0.49670811,1.561503307,1.687278385,1.256412166,1.612661999,2.165868139,0.413441282,2.464298391,0.272439245,0.482119855,0.289020331,0.288735372,0.155070817,2.132097868,1.993186397,1.290399173,2.556197442,1.923931076,0.666939744,2.110362878,0.670716526,1.951967727,0.724738678,2.087294591
Glutamine,0.178212198,0.144696229,0.278770999,0.640116203,0.013772973,0.142150799,0.305995695,0.202516447,0.584578727,0.078901557,0.066989196,0.314157047,0.113997732,0.188661409,0.06510359,0.800508354,0.531026935,0.080981846,0.259338183,0.308804908,0.5599845,0.307113331,0.017843752,0.553955634,0.544831093,0.343194174,0.280761402,0.56445716,0.263671913,0.233019607,0.575534937,0.177898739,0.120581972,0.281600839,0.22281161,2.552572256,0.09774728
